column_index,a_i,b_i
0,0.138566345808765,0.25399607803651836
1,0.8263746715457281,-0.4769313426130631
2,0.00025834035670193743,-3.7182358806904843e-06
3,0.5875921092719643,0.47138513789889425
4,0.5901807714337861,0.504595953579757
5,0.16103992705105089,-0.001931994592103657
6,0.1390870763210322,0.2414223906864382
7,0.8155206141807705,-0.4833055881042578
8,7.537603544515617e-05,-6.739929076742369e-07
9,0.6149399382033934,0.4642056167552348
10,0.08689067851470302,-0.0008216449801786456
11,0.09637230418488951,0.8320660562858265
12,0.7503529902575048,-0.3949632759209722
13,0.000230752212799045,-2.018553122836313e-06
14,0.15212127764018596,-0.0014227779266245508
15,0.43176609911297303,0.5205445865263859
16,0.7687440023347013,-0.3314855014659172
17,0.0025094323988869185,-2.5751291002796437e-07
18,0.5276372003375918,0.5134699416655896
19,0.5411357381381781,0.5169940328309548
20,0.50119662321391,-0.0005077148769722335
21,0.5545242932349572,0.41094061149928107
22,0.821652932977413,-0.39459245035180984
23,0.0017644351075117406,-2.313060705149784e-07
24,0.5354124543299598,0.4917734359944553
25,0.4202538648272881,-0.0004811742590468237
26,0.6568872964961773,0.49060587678197143
27,0.8390155500065167,-0.3842409603514516
28,0.006137371778690189,-9.298208519427601e-07
29,0.7841695856974319,-0.0009652024568370549
30,0.08547759675286072,0.5622517594808314
31,0.6674293919127438,-0.2231270831826056
32,0.002777818354796799,-3.6821354334592217e-10
33,0.500391024071183,0.5001655680800773
34,0.5000000000808273,0.5000000000576217
35,0.5270602397592269,-1.9189259361350304e-05
36,0.1469750108338773,-0.4358645706073501
37,0.5995241989125588,-0.19877883007626423
38,0.0009993214895644622,-2.5228835578932374e-10
39,0.5001269641689573,0.5001269641689573
40,0.3161254870600578,-1.5883839913723072e-05
41,0.065281382910658,0.37888591918793624
42,0.5954873343846788,-0.19065913739380275
43,0.00012039721533365262,-2.32021354941552e-12
44,0.10972583201700532,-1.5232270408004086e-06
